Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity,extremity speed,extremity angular velocity (left arm),extremity angular velocity (right arm),extremity angular velocity (Left leg),extremity angular velocity (right leg),Partial joint attention,efficiency,Spatiality
59,0.9493716682287825,0.12583224713007718,0.8841313374849153,0.7121608271980953,0.8314584382970422,0.02048330603020632,0.4116519978754373,0.9344090504054605,0.026840531505741668,0.220259339611956,0.09755288339410395,0.1214897585155715,0.033643228765444774,0.009838471265961688,0.020329050091413177,0.1214897585155715,0.9865177422803237,0.5270632418826853
60,0.9443552323016848,0.12163431694071652,0.884998867056026,0.7103346414937455,0.8204756024551307,0.020677613769466273,0.4118166720424599,0.9344820279660098,0.026685148049041412,0.21398373415328856,0.09070664222468319,0.12272572805632868,0.031156756636936993,0.00940568471829538,0.023507497389670933,0.12272572805632868,0.9768233522033588,0.5262447816216315
61,0.9395554736126648,0.11997178550415877,0.8871861490597838,0.7086651474667236,0.8079496554535381,0.020919437729144775,0.41235124189294325,0.9345538623595696,0.026145631524294485,0.20590510672841714,0.08002598766653819,0.12450102086132639,0.02981592106460651,0.008885278044062538,0.028788229993853876,0.12450102086132639,0.9749817324487413,0.5252075757725403
62,0.9361680665716121,0.12108898704742128,0.8906619957126345,0.7067497545983985,0.7946901378698157,0.02132653396142684,0.41323363895185367,0.9346236669019988,0.02919686947301019,0.1992993826889391,0.06687855838112784,0.12484595396964511,0.027882203015646374,0.008099298783102631,0.03762170667951707,0.12484595396964511,0.9868897545225922,0.5221477545814072
63,0.9348615895073515,0.12435072393045554,0.895192180395232,0.7047050327279714,0.7812954008587237,0.021895328097147466,0.4144354504691312,0.9346912757102941,0.03238826954990673,0.19294921048094946,0.05609510281177999,0.12520722997677708,0.026845953453003512,0.006935564282359609,0.048748699114934416,0.12520722997677708,0.9944715928448692,0.5150181995166453
64,0.9361448524331373,0.1289060003216551,0.9004119969856053,0.7028210140668887,0.7683934095286604,0.022587049910480814,0.41592887797468825,0.9347559481488407,0.03607493059284183,0.18786552510552607,0.05354076662864119,0.12466741964660946,0.025237324628600438,0.005571295385082173,0.06048102238868863,0.06943066576323678,0.9959836418950903,0.5048486379842154
65,0.9401485217513467,0.13355995085638095,0.9059869724172697,0.7011212978611923,0.7562814193943517,0.023271905495588167,0.41768197490782366,0.934817868474983,0.03952185458667193,0.1827445574145114,0.06159642403634697,0.12501387770683994,0.024540423065967033,0.004076657001946443,0.07190203422079444,0.0738434669728629,0.9884773483037906,0.49062874820480257
66,0.9467713979016699,0.1381361608956027,0.9117452556379875,0.6999893685659719,0.7451491733983773,0.023834630593329367,0.41969740349482915,0.9348766978714907,0.04241875935638924,0.17734643785496132,0.07634745427464264,0.12422066568766399,0.02323637465859759,0.0027275974056559494,0.0818323946066825,0.07726989761037993,0.9879057053006811,0.4763369817893492
67,0.9556707984569071,0.1406674680219791,0.9249793778737315,0.6992381697184975,0.7244108045902033,0.02699804538525641,0.422282342903416,0.9349331608800632,0.04083893336267055,0.17411218774222775,0.17257923292591854,0.12454776447023323,0.02183480902824763,0.0017487112700762004,0.14720803732535032,0.10190842567334384,0.9675043915652581,0.5700868950114866
68,0.9555939372823877,0.1446767510916422,0.9430409234639062,0.698903533470733,0.7007210295576125,0.027323015879908836,0.4256378525948033,0.9349875034139202,0.057037400693216125,0.17225164806214707,0.1299853647729406,0.12448257734621435,0.02026585704046797,0.0013795545317611098,0.15065012294580354,0.10317476260950671,0.9632127689985782,0.5534345681234331
