Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity
1,0.761278349760186,0.2353688541818415,0.8140393014966885,0.5888134683247489,0.37938629391872497,0.505999457790182,0.40473925007307,0.7372552307048692,0.07167497744761561,0.4901717453944613
2,0.8004803578291206,0.20214297640704548,0.8508463625997011,0.5815413678476732,0.3879616238440761,0.505999457790182,0.40473925007307,0.7173282330986123,0.07167497744761561,0.4901717453944613
3,0.8302370362591236,0.1758233189868487,0.878139700502459,0.5691186427264415,0.39735460976243026,0.5878160422064914,0.4237024267664348,0.6610039643360308,0.018792545511062096,0.5019170276507892
4,0.8589687546085598,0.13417573591712717,0.9057906971721666,0.5393170947273124,0.43757050282138543,0.6736052064058636,0.45833470365588524,0.6053788536095991,0.16814114580555675,0.6549623608858066
5,0.8821457060771728,0.10569476614529665,0.9262726225581381,0.5181785227839726,0.46650797732934923,0.5692475766552637,0.513118988987255,0.5407400991731985,0.1749342600403511,0.5051092053596025
6,0.8984092394346237,0.09206227011622255,0.9373441483876487,0.5000116436803823,0.48915764995832195,0.47129764863074236,0.566425901306529,0.4664529475422765,0.16882878722909295,0.4201930948206731
7,0.9139942214380904,0.07393652046220772,0.9501244883258211,0.48058894497464033,0.5228179394604096,0.3918735038858815,0.6115609570210415,0.39553029113839305,0.12548629003739775,0.4094836652785586
8,0.9352948047819888,0.055567175216235415,0.9715601704235998,0.4550493524637213,0.5716064606364932,0.3100816558254927,0.6405982780961147,0.3272659123166273,0.21342637162310565,0.23745254077114955
9,0.9521460606844974,0.04319688000301521,0.9867725899768586,0.4349166866276381,0.6020328893278651,0.1668691646826881,0.6590025589780788,0.26814624004995996,0.10106078061134777,0.17565289807582182
10,0.9683367606918258,0.03472771710399294,0.9999980163805263,0.43357138503142506,0.6187206389278131,0.11454623275445372,0.6770043145390658,0.21622399119017924,0.1361647274814952,0.13341706980507292
11,0.9789685854341499,0.03545686995713781,0.9908340039746082,0.4427935823593941,0.6238488202367378,0.05063454811862108,0.687568109242933,0.17148610223330824,0.0,0.05969837804095764
12,0.9875229812503166,0.03900340160359496,0.9859539487992314,0.46374989928455745,0.6245196647162832,0.08704129417880148,0.6926772423979857,0.13353537239222482,0.00299307574399145,0.12641172933522118
13,0.9924791369959787,0.0430479074822247,0.9825204246367255,0.4866113811473026,0.6202964181210703,0.14146318843434447,0.6951752125562543,0.10511475460743146,0.007944424557754426,0.1825397823591683
14,0.9977262554339116,0.04395398733352142,0.9782523633514103,0.5044442376597181,0.6242828954017363,0.1372027721808953,0.695637672546462,0.08125397071464685,0.02016741072876433,0.11002027849787764
