Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity
1,0.37568359038486565,0.5883884502829325,0.07917683671500929,0.0,0.14283454090274886,0.06756247409467657,0.9999999849882609,0.5536199420362046,0.024732213818392353,0.048636527239937624
2,0.37743025125738594,0.5852235169826189,0.07896221685876949,0.0021630728471126147,0.14130301392756323,0.06756247409467657,0.9999999849882609,0.5626969780425138,0.024732213818392353,0.048636527239937624
3,0.37884754579206636,0.5846964936106697,0.07778632934398524,0.009674512671910622,0.14016950264927747,0.08013107327651195,0.9963121696328319,0.5721386655534959,0.13570717147931127,0.056172324297964
4,0.38111203778323455,0.5841256230997094,0.07787843131035181,0.01645069263969923,0.13886923062254578,0.10458018188809402,0.9930349405768828,0.5819411793304436,0.08057240078291623,0.07447173195945614
5,0.38307645958585596,0.5817509529964743,0.07662719565865961,0.023895886851485904,0.13831453308675992,0.08650509566690918,0.9896314255971835,0.5914227421658934,0.05169594391490718,0.054641452827594285
6,0.38489477074777917,0.5791981055325254,0.07540302466063181,0.024879862138668645,0.13814348625783932,0.07002278158047778,0.9851351059490583,0.6003453237925024,0.2900478132577176,0.04237989319266937
7,0.3874896183200719,0.5788811563800875,0.07372249134216932,0.03999780603439998,0.13513890430988193,0.1528839129922019,0.9803472893080271,0.6101192932356309,0.282955985530057,0.09485621758188488
8,0.3885716850080538,0.5787486839850766,0.07142020927668963,0.05136534712916056,0.13300709437757072,0.07442574637753321,0.9741129226585217,0.619295611014752,0.2541795475317598,0.032312571876190306
9,0.38878513655409025,0.5786550664523823,0.06624183467596541,0.06563215357212525,0.12859616844311508,0.14657038419202414,0.9646982052495481,0.628335609144693,0.3037285565699214,0.04748679506465573
10,0.38963129540836666,0.5829807389586357,0.06513944580029656,0.07638700497789733,0.1277729330946623,0.07612055044070053,0.9551377792880923,0.6374062479616356,0.2003156053443637,0.04947384659004838
11,0.3891517980868133,0.5834477977704358,0.06106470483261097,0.07803846257024526,0.12659174926351358,0.11466712563300964,0.945668955038212,0.6461511529395111,0.04934161534224773,0.053413947161526344
12,0.38826421518813065,0.584858947257304,0.05735977523212296,0.07592151074675169,0.12475873369675933,0.1349171549536719,0.9338150109443413,0.6546461217621473,0.0937462041929774,0.07409628359958909
13,0.3862241532069112,0.5836147075038003,0.051540814220216495,0.08264470431318587,0.12304598733865917,0.14918196306117804,0.9203398527118943,0.6625405084897903,0.03046275853902741,0.0763227970973445
14,0.38415572032922507,0.5823752070702582,0.046469386703358685,0.08927084742989849,0.12010734699848775,0.1443257851432944,0.9058673453628032,0.6699597989050662,0.1118000185586629,0.07903627080796147
15,0.3824972864737926,0.583250869686009,0.04195033412803519,0.09423971257605877,0.11771604763534785,0.11625924809131115,0.8936779277065641,0.6767205404393556,0.05695579978118554,0.06716745702837387
16,0.38056984238195063,0.583709701700986,0.03856635601828565,0.10136905776631701,0.11597296122031095,0.07547866471089357,0.883632347979105,0.6825794084861244,0.01581029961483417,0.06253806371087331
17,0.3787012967463497,0.5858051557396984,0.03457649225873015,0.10889172205681776,0.1140379562193827,0.07148925575299367,0.8738007381478697,0.6876847491566415,0.11301251452976,0.04650749045168035
18,0.37793289568956023,0.585030801084403,0.03198127771215583,0.11341053870759205,0.11259564876095245,0.02845132926011748,0.8658792559496488,0.6919010668602504,0.01781930124498451,0.025794461929681975
19,0.37674872279751825,0.5844490847656171,0.03037292772238953,0.11444739672646577,0.11180076526772163,0.01806670022632945,0.8612704818283015,0.6950900319289706,0.015811046800435907,0.0386336265223599
20,0.37597594241082694,0.5843071834808096,0.030045956544694025,0.1125142260666916,0.11101389266123404,0.021079403353300427,0.85952480140159,0.6972128512644986,0.07390482668490124,0.041777022604101564
21,0.3750717929860252,0.5823643658852337,0.030685825456562205,0.10726363807843516,0.11173339134310346,0.04993164786468076,0.8602510379463489,0.6982808005586564,0.0162044621503474,0.052164878865148645
22,0.37412926365280186,0.5825511184157245,0.03243442734909527,0.10179532929475239,0.11164913572847959,0.05436663177346887,0.8635436944827211,0.6985339890604627,0.07844255929426423,0.042483123842569886
23,0.37329269083368866,0.5815735174335956,0.03387546393211985,0.09407484339958454,0.11169085474197227,0.03504294484377127,0.8689171125545021,0.6980874927351541,0.05158688831386542,0.025152829170993693
24,0.3734719729179242,0.5795496500321861,0.0358706373930977,0.08923117109874287,0.11347096968198302,0.04552769088755434,0.8746062015963837,0.6972311083039368,0.08173391297536899,0.015980094390571475
25,0.3744607400197026,0.5756782942490037,0.03872355986599333,0.08116133373337056,0.11617071705361512,0.07602110396311094,0.8824101887391459,0.6960196854173823,0.09472953104145158,0.02432319708593154
26,0.3755234203268131,0.5733258310460183,0.040393672436079484,0.07793579739175235,0.11726648160400233,0.022180852292865056,0.8898508001586742,0.6949717144315356,0.02509187149921257,0.017893274567719344
27,0.37671079724526824,0.570945707480262,0.041358476566220326,0.07794937611542052,0.11750071204216365,0.009822812182701084,0.8941856955831184,0.6943036009511538,0.022659513379402068,0.01944778540130484
28,0.3779727841143291,0.5687896204360422,0.04151741620792231,0.08090445396471475,0.11837912992919343,0.01039668655273001,0.8958271604238199,0.6941750785902647,0.06212488189409221,0.020447776223227236
29,0.3788895222554536,0.5694355207934901,0.041695543129346195,0.08718664060181108,0.1244607600286737,0.005114322790233037,0.8954306466400203,0.6944550778189522,0.027701566038557297,0.009600106620538547
30,0.3790527956521304,0.5716001376002867,0.04329079985902448,0.09157849990269913,0.1278551451450031,0.0,0.8954796501086492,0.6950265131487894,0.08504892538080963,0.0
31,0.378087614514473,0.5759096751522483,0.04589268985795158,0.09382318123484838,0.12946109748193485,0.026590784006510035,0.8968578686092895,0.6956647923493905,0.06916733191624651,0.006553975421696892
32,0.37755393045535823,0.5756811635501213,0.04749286325325348,0.09364261571474605,0.12841029679908747,0.011240806062060344,0.8992768199769177,0.6961708770253193,0.066865903328729,0.001522204813631607
33,0.3773631374046646,0.5734939497753498,0.04956089407652369,0.08951454976652824,0.12906022354697091,0.041936170630831285,0.9026946031519033,0.6963371938682276,0.19364537787386057,0.017857576083136456
