Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity
1,0.9999999983316852,0.433762927315771,0.0,0.9999999225195465,0.42546006691100513,0.15429774657132003,0.005682746596859757,0.9999993371601834,0.3185858995010982,0.7259500929938884
2,0.9249607617538379,0.4504128070536211,0.0015648976503595188,0.9622100165267576,0.3650341601572051,0.15429774657132003,0.005682746596859757,0.9521298179838811,0.3185858995010982,0.7259500929938884
3,0.8285472058708209,0.47014676911903336,0.017888344524203625,0.9282477249048658,0.3016724091751715,0.26269252161234546,0.0,0.9021695524904156,0.3682680362070373,0.8049329327581866
4,0.7205716409335002,0.5027103343940205,0.04975026161908936,0.8954448597236336,0.22466139918672248,0.4029906118962579,0.01167468967988889,0.849618023531521,0.3077721440754587,0.8999323904908023
5,0.6111223214841598,0.5527396836159851,0.09820236885264613,0.8587471450988681,0.17649398857569634,0.5278446310550295,0.04774491870422303,0.7953964447979255,0.5411972323395103,0.9999999970285939
6,0.5146183590428517,0.62205813220327,0.15299984047493062,0.8188213473734702,0.1678066399249901,0.38925809952492396,0.10887301135597481,0.742145162915064,0.5640969910552285,0.8710742398227104
7,0.43210360943652915,0.6991596346086933,0.21159995478794832,0.7735173504231778,0.12363454472207103,0.2564150642595838,0.1890707498885203,0.691518095243277,0.34581095194665895,0.741354215256071
8,0.3649208793131428,0.780951338008601,0.2639170099180761,0.7174732702060077,0.06004043666960978,0.1313077400223294,0.27667116043617335,0.6447422719733611,0.03433980474431938,0.6320963981440382
9,0.3115655381831695,0.8582455083710895,0.3065988909977061,0.6407812587486924,0.029275544460841515,0.08933053544980754,0.3591443087714647,0.602160883176896,0.0822544929640233,0.602651620662302
10,0.26901157306903745,0.9216590759426239,0.3413655261962884,0.5572261708450603,0.09719962995940278,0.09178682217074263,0.43379590178092586,0.5626180803194534,0.07985921011339668,0.6021723410342279
11,0.23330342103136215,0.9684201802857184,0.37784113085706933,0.4818349769825562,0.15888541257644562,0.15173470476906814,0.5072805911113472,0.5246771094520941,0.17996972128179306,0.6278974762676028
12,0.2054778494642724,0.9942010095652913,0.41881739974556226,0.42528123412113333,0.2142791412488135,0.2309446811366395,0.5863069706115095,0.48718249150902454,0.4941038714644121,0.6581329073925809
13,0.18505946687975772,0.9999999951277886,0.46395636877180246,0.39172342848077824,0.2691965920480823,0.3726726701793722,0.670150288770821,0.44959180693828743,0.5942321389907745,0.7024733700613356
14,0.16887673913058082,0.9861634853834362,0.5054151618924355,0.3779577442513823,0.330564678488169,0.5452356975005347,0.7515414182155223,0.41179102859520644,0.5861791079064694,0.7585315957960456
15,0.1487137691755445,0.9584352242374571,0.5274356356390738,0.37844699674055793,0.40415176803524094,0.6861837509995535,0.8122766277105865,0.37425111392674043,0.5658976169172628,0.784881826188376
16,0.11765775703215492,0.9190184462243521,0.5173324795465954,0.37865913951316194,0.48671729899543814,0.7525003323684251,0.8336600864778785,0.33753569304794684,0.5390005930598536,0.7997710500193628
17,0.07408729979943644,0.8692398024058748,0.47344456257242884,0.3678038470164306,0.5774299967648393,0.6987836898686337,0.8105038603739856,0.3022900471534861,0.018261274469358716,0.718135253982062
18,0.033956357376954335,0.8146691074933665,0.40613461710806303,0.3371151184693035,0.6697315286760933,0.5364292779355048,0.7521366963842822,0.2690300794241266,0.02047005479520819,0.578446788933004
19,0.010494111732043314,0.7598778912665731,0.3247317956630814,0.3091414015987459,0.7569142581697756,0.4114696151942352,0.6746868590158814,0.23806852943023102,0.22588196474587044,0.4791883692105201
20,0.0,0.7034975373261246,0.2368042633320701,0.27070316947723205,0.8328546784625671,0.3808588677578246,0.5904885946362413,0.20949548836661153,0.14885033296782368,0.43544479410987463
21,0.004263018469999552,0.6384307813526345,0.15044094642521327,0.22889945003321346,0.8933654330425927,0.3914276148073905,0.5063814150541683,0.18318578081694503,0.4495623187491087,0.4492426605480818
22,0.021858731970966962,0.5639801170323625,0.9293558255003935,0.19419452616237418,0.9363406612119113,0.3215577075725232,0.4274183364398748,0.15891789119896968,0.2749963114590462,0.4588816353325329
23,0.04815798842023811,0.47731662949746956,0.9944823167676469,0.1673620909524584,0.9634623134625675,0.3247917760684944,0.3554371206290175,0.136389893272513,0.35648379634665106,0.5199329142844009
24,0.07706778803418782,0.38929538216586673,0.9587862884006562,0.14942156745385202,0.9830574596144372,0.3265286850642689,0.29094557216955885,0.11541613667621475,0.39168012166026833,0.577165486399179
25,0.10639095070371013,0.3061334023087723,0.9120501739685454,0.14612292934667556,0.9957670162013148,0.4570880194407026,0.23427938691817765,0.09589445446628721,0.9999999998850712,0.6549220333828631
26,0.12764227696579522,0.22455028897760515,0.8783718691001514,0.15163892103587504,0.9999999683957693,0.6651977092292655,0.18904274059439738,0.07794610773604337,0.9030798281848667,0.7884826789798226
27,0.13307337511297906,0.14891978889894447,0.8656061098028027,0.15842111288697003,0.9920921830624247,0.8351670017327225,0.16647719802418934,0.06180476296485172,0.07860252679887579,0.8475167964655657
28,0.12468763745777786,0.09521304922513617,0.8730555603563901,0.16392005272919039,0.9855953704033907,0.8372090476736049,0.17154099076852847,0.04761409301609611,0.18371058032574292,0.7111515417049249
