Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity
1,0.8601625751847335,0.24723877689606513,0.999999744433615,0.49835483823533083,0.9624080850499153,0.03437470750059388,0.5993219379960582,0.9653739719969168,0.007187115640730297,0.04839800345258043
2,0.8558761236566118,0.25259250430743546,0.9984572556181729,0.4989109816426297,0.9591265693172144,0.03437470750059388,0.5993219379960582,0.955244827114809,0.007187115640730297,0.04839800345258043
3,0.8504897030593392,0.2580831262684772,0.9968389564087856,0.4992105052084371,0.9552275650637522,0.03274589181462342,0.6034594386904296,0.9455711092872491,0.022262205298876337,0.04393162676598558
4,0.8470268639846005,0.26237789381517895,0.9953409430244564,0.4993216594350884,0.950324305630839,0.02752810775418308,0.6062703705889251,0.938420679303136,0.0055434170997505534,0.042607965922060426
5,0.8436702229483687,0.2661456491271063,0.9942523057674242,0.49981889539048346,0.9457745798995809,0.027122477154112153,0.6076802451098522,0.9333045283645868,0.011706458672045748,0.04041457486467589
6,0.8399420041456925,0.269709737459849,0.9929928424227036,0.4999524150498787,0.9417637270696455,0.02580636350706354,0.6082202237154679,0.9308001574262609,0.03798765926690215,0.03629491291048523
7,0.8393332657853563,0.2712717986470153,0.9927522707725901,0.5002740219360164,0.9398877542750947,0.013672286518768003,0.6075816326238594,0.9302464670481558,0.007252728124882065,0.018487713370255378
8,0.8394451539215504,0.27256848766824865,0.9926896008469306,0.5002885481657743,0.9397062064550807,0.013803876795895554,0.605881931700546,0.9315531532765097,0.010095749316321805,0.02090535012335635
9,0.842073583108559,0.2724477545622156,0.993517450348795,0.5004312649492342,0.9412795269531288,0.011939911882127292,0.6029869485837754,0.9350112407678997,0.002019962430618833,0.009494409059346972
10,0.8445432445214663,0.27183767572347245,0.9944534560126884,0.5007100395001249,0.9426207025345265,0.014776092841024635,0.5995354021608846,0.9398926160570729,0.009715511402118765,0.014824629759881148
11,0.8443624186804791,0.2725375489012086,0.9943655159557139,0.5010788106645281,0.942786007716395,0.012071606913799366,0.5964278190299787,0.945709117301651,0.002030522090812797,0.013105865727942239
12,0.8480430475115116,0.2695319717615738,0.9955026718648686,0.5009113547471976,0.9437832524792181,0.01738685084059633,0.5934536791327746,0.9530453595240207,0.00429034807804573,0.009759527380907644
13,0.8486298056138237,0.2685934825948538,0.9962638082200667,0.5016338842493782,0.9431658555920992,0.02367777184376777,0.5910420844249877,0.9604172840871672,0.021261023005473847,0.022590616905352134
