Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity
1,0.9999999387171306,0.5254736250629244,0.0,0.8873236260726468,0.6043767161544726,0.22768825320640212,0.39211864698944177,0.02145308152320757,0.029484643940597608,0.3002037674008481
2,0.9959098446304019,0.5133420485384407,0.041079699003366964,0.8854655383140649,0.5121692569098029,0.22768825320640212,0.39211864698944177,0.010664944997452906,0.029484643940597608,0.3002037674008481
3,0.9751853583198943,0.5182452491845453,0.07646520716503402,0.8931815849664275,0.5022024324521086,0.26972022283256814,0.36276028090133583,0.005055295662599453,0.142983603284465,0.35779006881002173
4,0.9703147645638599,0.5216241482729738,0.09678115602726996,0.9107241871255221,0.4890096135591966,0.23939838018601645,0.28603368652853534,0.0006532614929348557,0.39685807002410445,0.2676752684992234
5,0.9720515609037836,0.5107136647683372,0.10032171567160338,0.9191570259766749,0.4849131299260569,0.11024751774532401,0.20646050531152077,0.0,0.09792261943015347,0.15847436063664697
6,0.9676013116756181,0.5005390462861997,0.09862592989396377,0.9257411662143219,0.5289629915558178,0.09491905886821728,0.13717378033924754,0.0029173808994464334,0.02709816033297539,0.11251084308902601
7,0.9720122971399608,0.4827695481982467,0.07634132942806635,0.9247813579920221,0.5706898382543283,0.13651315433733469,0.07619993692878943,0.009573190811565681,0.14301618736110677,0.08746832963028786
8,0.9644002115479211,0.4843584287272047,0.07627771653611405,0.9262293167406556,0.5832681148982797,0.10447028270870308,0.04117347969084783,0.019123233827676986,0.014893340183621944,0.09150812244594746
9,0.9674493700561572,0.4776101308455046,0.05953580778765788,0.9183263312252249,0.5930159509549964,0.1096457591249238,0.011383403181135893,0.030756192907610697,0.044634900062526156,0.09553925268756343
10,0.9604429429408781,0.49053510420697277,0.05472633835117333,0.8946129745657238,0.5226695548669271,0.2891073834389596,0.0,0.04627872423850421,0.09102135214687836,0.297745246040125
11,0.9441895059776285,0.4696654550973265,0.05667322764968872,0.811491402327742,0.4744002401339408,0.5060725331385053,0.06303531794914484,0.06810961206873437,0.31974406555373097,0.3195424193838252
12,0.9256388529734382,0.4023142646631499,0.031103356119013572,0.664638326465892,0.4840417938253914,0.8805092045500529,0.18454284286736033,0.09635648226832944,0.9999999989909063,0.7824400080515329
13,0.8266768370520629,0.33473943254978084,0.12742750373829262,0.5464788776197931,0.5098457301954815,0.8552622823550182,0.35556363218488907,0.124073093904273,0.23147132446105992,0.6234154164341267
14,0.7086820128206232,0.25977653043853194,0.2603692407949926,0.40798530099368846,0.480095450419976,0.9999999927481238,0.49926079032376935,0.15078838648697745,0.738362834066913,0.9086236935723246
15,0.6256689506908779,0.06681896419427913,0.37641003687335384,0.07958871427147562,0.32854889909090995,0.9605767114503844,0.6812630980540753,0.176271077270029,0.931905463733383,0.11183764501472677
16,0.6373793668683064,0.0,0.3511046610513372,0.0,0.3022398200350939,0.4743418243871122,0.8920050030270058,0.197103474919061,0.37966342790913726,0.4247525698078478
17,0.7159606307988247,0.07566930294011677,0.2943946048852547,0.13281020705826252,0.3488601571842291,0.8322999973456712,0.9999994933827947,0.21094410698350408,0.3618803373331931,0.9999999744549329
18,0.7929305026112988,0.20976560877710962,0.19250851427859972,0.3136355436910928,0.5085589826614163,0.9401620231431279,0.921488087728339,0.21793357344336445,0.2262582391070907,0.20526651705604745
19,0.9251865211408838,0.28929106257413456,0.03203997225187746,0.5201059591375397,0.715845688731972,0.8578967552813195,0.6752354430071756,0.22077937039613338,0.7900906561326452,0.36525244715722643
20,0.9866744189714343,0.3849070968632034,0.08188485815724358,0.6906532295332765,0.9654088451194607,0.6513681627076515,0.4798138247464742,0.2227884502360308,0.7312966282007743,0.46245253088816585
21,0.9947366015273333,0.5492221538198768,0.09340632470671392,0.87602800868158,0.9999978540081661,0.7833972910336732,0.38530736896726053,0.22232645092189954,0.17250230617265613,0.0341062064519076
22,0.9463581471936495,0.6400871885048548,0.023649766607718253,0.9811849247992612,0.9369621923479896,0.47128680478783064,0.31354317071546695,0.2245383255643426,0.21822342926153995,0.45822264328060675
23,0.8620118016110144,0.6835089545661972,0.07749222056540869,0.9999998318410045,0.8663419412131401,0.6188862876594248,0.3259431413158492,0.23368307804113114,0.23586802463707116,0.514485452206859
24,0.7638624802605897,0.7371300871939431,0.17130365895246852,0.9897432003205213,0.8950518462455672,0.6020580990143021,0.40872493539517846,0.24926727757530745,0.03758519217920471,0.5450079727094138
25,0.6677120234960712,0.7890478312132293,0.2810568228681245,0.9770744314679033,0.8099654967834363,0.6429276869707866,0.493592168537229,0.2705920633304255,0.0024951432045336465,0.5194288904596022
26,0.5577264056916179,0.8362280401411067,0.39044086460809596,0.978274087861713,0.7724068522525079,0.6808470087765263,0.5717530483241736,0.2972732262023858,0.43931826700673615,0.708020869509683
27,0.42143347833670974,0.888806276772629,0.5453416045652905,0.9809529693377028,0.6876725372052176,0.7761050503287695,0.6514527301939771,0.3286986324211625,0.06581464733106125,0.7876700330828993
28,0.30579553162036416,0.9233606959811612,0.6715449786393176,0.9840169930221757,0.5904279542205272,0.8098053939062119,0.7444633681034857,0.36373390497147884,0.1680636036110091,0.9384804165027627
29,0.21429361739528904,0.9464628020458096,0.7883436888448541,0.9845163103663638,0.41487825620281743,0.6948682938029757,0.8160923900055848,0.4015660296281677,0.8050302137409147,0.7967612670916749
30,0.17221341522832204,0.9518650749655965,0.8290902571771943,0.9785487344947279,0.2941048609859106,0.4808184485173201,0.846043027349246,0.4407543211695466,0.038473948220821494,0.6146833902804388
31,0.12366061259934917,0.9527361271123022,0.8854575570372828,0.9692570412350987,0.20116878553921477,0.41398869831095,0.8249622159520049,0.47994644811974263,0.18795825016423223,0.608406058679034
32,0.07588077273893098,0.9583209412884586,0.9402190498813745,0.9641145516551668,0.10619393955787045,0.35856118907677914,0.7952257043206805,0.5187704146701713,0.340737924929054,0.5660549716856521
33,0.030048700443268198,0.9634089452810966,0.9773447054427022,0.9571092916793786,0.08535115608305086,0.23920252322152896,0.7508951769854442,0.5565328384964566,0.07602485966604713,0.44831029001752515
34,0.013867134160217563,0.9494479328759616,0.9947842634733183,0.9508265316074954,0.06993978207651544,0.18649660884856006,0.6977300924981761,0.5927933892696885,0.3608123211046777,0.3032089787326367
35,0.007697432840117417,0.9483689806955671,0.999160997842166,0.9460391376644165,0.015444804933172112,0.11945852320899299,0.6344441187999339,0.6271749327554853,0.05051136215963022,0.2717491362678128
36,0.0,0.9596741346836591,0.9999996836018883,0.9470715486601998,0.019942323469447413,0.08985617401754203,0.5719393503409581,0.6593024179125131,0.3845615695397367,0.18898814614825973
37,0.04993350184943524,0.9355905867819828,0.9355430838168214,0.9394416332432056,0.0010207340287713784,0.18688835440391324,0.5140309350487993,0.6889908322457676,0.34515742338049593,0.205334518906947
38,0.06943249172644897,0.9322560999721011,0.9091148567506249,0.937279118223254,0.0,0.09223534604306728,0.46227625067804123,0.7163977032640969,0.20134614966937467,0.07350815563584627
39,0.0861969981022294,0.9288918554068114,0.8744684299520664,0.9358767994395892,0.09847301006251422,0.1919170296675875,0.4118235776924768,0.7420679147228576,0.23596513873079622,0.22195062277986707
40,0.10467131047825691,0.9262019868315559,0.8432767690948786,0.9366950670450096,0.1776289806864485,0.1890263564251898,0.38000513879708103,0.7647336693274412,0.07387995987043844,0.21745068089098174
41,0.11961155767333863,0.9158162874084156,0.8121700649289175,0.9385351309711363,0.2761180412902058,0.09782358698038866,0.35919560908500237,0.7857022181393604,0.15881289297403417,0.1073162000575616
42,0.10169537540197952,0.9227300790740747,0.829875374185796,0.9399118222771939,0.3437307936153506,0.06566413456061351,0.3418484334516637,0.805252616322676,0.004475535610779212,0.040403559306725186
43,0.0964218649425817,0.9292153475745605,0.8436032036720139,0.9393208936443666,0.3449074069284787,0.09237507696129411,0.3474035080975508,0.8232150524008868,0.14553004657922108,0.10119013402731925
44,0.0975860078404558,0.9248618503757721,0.8357403154216928,0.9355943456133633,0.3870987933424702,0.036536331400873895,0.3432393637936962,0.8398858754294897,0.02503348138030455,0.019676898626789566
45,0.10983418387722646,0.9155420356734544,0.8225716097752839,0.9235966931601662,0.40609200859644806,0.1153684037829364,0.3253604950859541,0.8550323580815943,0.0362222283326275,0.10422387509338167
46,0.12207210520780598,0.906809505087815,0.8100377775308256,0.9117135096757873,0.40679555835613934,0.10681383694823947,0.30912351973212576,0.8688234741332642,0.008823189948272357,0.04743466891727379
47,0.13016441161707787,0.8953763091077599,0.8035697693389597,0.8975165808879265,0.414485827127484,0.11543213144663393,0.31475891079974344,0.8811867293871314,0.21147120558539606,0.11318055554997374
48,0.1675733544502842,0.8763154534811507,0.7609637794345425,0.8835940074161711,0.40757832969477964,0.20914482646914698,0.28122241119862734,0.8920231843038796,0.0,0.13470378533283675
49,0.20173487828897085,0.859320899274078,0.7349147186848659,0.8694199495800814,0.3806886406537719,0.2734151180296847,0.20653676536236504,0.90144703166514,0.22481982108947024,0.2767883574773567
50,0.21900279998433603,0.8610326284622768,0.7211772635636807,0.86657620692472,0.3831819252366125,0.17989532632022617,0.14812489631502468,0.9095104272519218,0.10294686260079501,0.15176292740036657
51,0.2220388993305759,0.8599918184750772,0.7115394919266415,0.8682900061780059,0.45371915964757314,0.12738067851176982,0.09390036410126458,0.9167454431114348,0.07216306931029175,0.1520639366860876
52,0.21207328215097834,0.8784994658155513,0.7182221936288538,0.8811511560718644,0.49979232129429313,0.08563065095740023,0.04757643854362281,0.9233180223436327,0.0650175977588453,0.06922831868480986
