Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity
1,0.019866524561578548,0.7924214491186351,0.9505735665962198,0.939801577203729,0.03353754306917565,0.08076900584962646,0.9999999770298261,0.9999811353509063,0.016989822499265148,0.04462654445519458
2,0.0210320505287735,0.7827158859876114,0.9317710237310652,0.9325270614507923,0.03742850803130053,0.08076900584962646,0.9999999770298261,0.9385397086019237,0.016989822499265148,0.04462654445519458
3,0.022085416187756387,0.774513674746406,0.9143435022887397,0.9279483422622966,0.0419460434341966,0.07460491996654911,0.9874958549370093,0.8814468165866494,0.04395171035165877,0.04048227646855128
4,0.022524387391832542,0.7684018629684821,0.901165184709703,0.924876988772282,0.048068259535950696,0.059139116192083646,0.9754527106161818,0.8310943989346944,0.05136552682515903,0.03420229759575916
5,0.02255786041956973,0.7630989887381896,0.8934132608616943,0.9241375438772901,0.056422104513947115,0.045705185147925174,0.9655981398095433,0.7880487529922303,0.031519071438322714,0.03297206047558596
6,0.022476521088727826,0.760259510601249,0.8869179025301375,0.9242128473784732,0.0632224894755613,0.03457246406564413,0.9585343173204193,0.7529924549524782,0.04654414214097477,0.029644693071751535
7,0.022525259525668046,0.7605416387827441,0.882490309245961,0.9264061957570016,0.06706183884734636,0.017034201453500344,0.9535970226052995,0.7280361545377411,0.030601951392764566,0.019536931625377934
8,0.022820791499489138,0.7602341510499487,0.8787335871853579,0.9283541865893141,0.06892297202945566,0.009843029256414622,0.9495814365116777,0.7106341603920737,0.0140350865243267,0.010759445173236641
9,0.02302718413607401,0.7612934954618957,0.8788417732547156,0.9338213908907537,0.07110670888462356,0.011494201796321218,0.9467770615315513,0.6993325345028341,0.01798872616275228,0.01663673984729718
10,0.022880256327621376,0.7634374312129584,0.8789350249427602,0.938899518592735,0.07282581223546775,0.004334674961342186,0.9457596333791408,0.6923280167170393,0.047368079565357435,0.0049475130190447655
11,0.023356151143610403,0.7651040011564106,0.8741504568275535,0.9422407456480275,0.07454547985582796,0.02777970049002202,0.943920378539371,0.692712173954089,0.007481153383462489,0.03578948093539729
12,0.02375388410063498,0.7660965066115707,0.8679111388601439,0.9458343968439322,0.07647887833959204,0.02688800679911817,0.9402978683994725,0.6977619993421658,0.019464822443767987,0.032998136848004664
13,0.024232215456087558,0.7651264163344021,0.8576167247886698,0.9582708632684351,0.0805999387211008,0.03708276680541236,0.9350015289903759,0.7044263476794564,0.02609940431923011,0.03896652731924634
14,0.025274562645149965,0.7596958254261221,0.8477775937590771,0.9613432171001254,0.0851591116720597,0.04722864628914195,0.9291838236873453,0.7119800914217214,0.026007149134417214,0.0438547719607783
15,0.026065498245847724,0.7603849707490332,0.8366323903269459,0.9681615066299638,0.089030007733371,0.03894876907226995,0.9221911886094832,0.7218148613447758,0.051780846652880165,0.031732786907310094
16,0.025907887023818174,0.7572975931883325,0.8295117870706321,0.9717449706540066,0.09430269142135556,0.028154976267938007,0.9180320348682551,0.7297702826844976,0.023850785084406034,0.0362443488910418
17,0.02654218626199195,0.7547104933922226,0.8198929479648769,0.9744814171920956,0.095537474990324,0.033823057587759206,0.9160740651461262,0.7350579240271862,0.09284128423039653,0.031052504098308988
18,0.026434080368630868,0.7510725704824275,0.817782418061819,0.9762562528647267,0.09613202894253618,0.013045718447734446,0.9147153401746007,0.7370133867538825,0.02173453409318356,0.01630202022433661
19,0.02667602625247575,0.7455607546196211,0.8129328599092956,0.9778168820173436,0.09738592204783529,0.020417575035237143,0.9150582929277582,0.7356969092101998,0.02838654024170178,0.017481124911755585
20,0.026193548539615787,0.738617976566131,0.8144771376536778,0.9771564295216293,0.09719854336373017,0.02151216508789158,0.9156974940902707,0.7300772352189746,0.024432232662747584,0.02389428775432172
21,0.02549178113159826,0.7345564805924435,0.8157533412935892,0.9735939283277301,0.0968307148965058,0.02804495528177811,0.9178043127692769,0.7221636679718645,0.008151936422216193,0.027817701762421487
22,0.025293765920103527,0.7320716142343496,0.8168579759387257,0.9676583948282597,0.09674295958845294,0.030688614742159885,0.918152030824165,0.7140016610793575,0.027044718381356067,0.037090149555447954
23,0.024368975617040496,0.734719550539543,0.823137236516525,0.9622971205022385,0.09833188647525937,0.040042962172526265,0.918201777165231,0.7060845484672275,0.05137942086711645,0.05196376331907287
24,0.024044516564080697,0.7368336338060909,0.8261149012841976,0.9562159240950651,0.09965464438271297,0.024495821571795865,0.9182297515885424,0.6991931233313564,0.03487501201493895,0.03575354136707722
