Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity,extremity speed,extremity angular velocity(left arm),extremity angular velocity(right arm),extremity angular velocity(Left leg),extremity angular velocity(right leg),Partial joint attention,efficiency,Spatiality
25,0.975694582,0.119208397,0.982477944,0.790824461,0.840113733,0.008524205,0.462283242,0.915878894,0.02980487,0.068898098,0.059608818,0.038888032,0.05388072,0.043128119,0.003172316,0.033974218,0.946762849,0.320892696
26,0.977898762,0.124115775,0.981110549,0.801567388,0.84168884,0.008159898,0.462879983,0.915899045,0.026277371,0.070860728,0.045788571,0.039014882,0.056031576,0.034942845,0.001419952,0.032497326,0.92311654,0.302491299
27,0.979860764,0.128180513,0.979934786,0.811567061,0.843511945,0.008662139,0.463104902,0.91591657,0.03771154,0.085136208,0.040728247,0.041160636,0.064322645,0.031585433,0.002171606,0.03955623,0.934206823,0.30860999
28,0.980816639,0.132628518,0.979583405,0.820658268,0.844381639,0.00796804,0.463061406,0.915933927,0.029404776,0.08174701,0.023478031,0.041316286,0.062181908,0.024871372,0.001514068,0.038811823,0.94717621,0.296784607
29,0.981364847,0.136837704,0.982926292,0.828988509,0.843226524,0.00829607,0.46288258,0.915959543,0.028781423,0.081208698,0.003910208,0.040373814,0.058979635,0.029477461,0.000457016,0.037257543,0.956500359,0.309114394
30,0.983615484,0.140155771,0.985084871,0.836573811,0.842595907,0.008378906,0.462626788,0.915989254,0.029182946,0.088049798,0.016426134,0.041751786,0.064771684,0.02017639,0.001447299,0.039946301,0.955848235,0.31507957
31,0.986220251,0.143533363,0.985815244,0.843724216,0.84221229,0.008774316,0.462316123,0.916016981,0.033275733,0.095677392,0.019080647,0.039300487,0.067528523,0.013831686,0.001702675,0.040060879,0.95687475,0.301358238
32,0.989768074,0.146666737,0.989470069,0.85021972,0.84015055,0.009133309,0.461849859,0.916048569,0.029696749,0.095227391,0.035769551,0.038368283,0.068978451,0.028753405,0.001301664,0.040255025,0.950246359,0.328477635
33,0.993540209,0.149501145,0.992407997,0.857047551,0.837937216,0.009239702,0.461138341,0.916080903,0.029417541,0.100320796,0.037326194,0.04261471,0.070660948,0.025429523,0.00148864,0.042478372,0.950758877,0.307368712
34,0.996043675,0.152627195,0.994687866,0.863697377,0.835863887,0.009341851,0.460241649,0.916112904,0.031710805,0.099721505,0.03476845,0.04230798,0.072255348,0.023018775,0.001906266,0.042961248,0.959353128,0.296155398
35,0.994972455,0.155776334,0.997010137,0.869194793,0.833568681,0.009191088,0.459272811,0.916144762,0.02724298,0.091778325,0.039524505,0.043050455,0.06907542,0.023040558,0.001293479,0.042047203,0.979155492,0.305179089
36,0.990246526,0.158440011,0.999011925,0.874022828,0.830990145,0.010293566,0.457996548,0.91617399,0.028800733,0.119485122,0.042592071,0.042723663,0.072165656,0.02075049,0.0011073,0.043083494,0.982078338,0.287751985
37,0.985078966,0.160795996,0.999011925,0.87835633,0.828194702,0.010642824,0.456399582,0.916200565,0.025800677,0.119069367,0.043735916,0.043820695,0.073748067,0.019217248,0.002395041,0.044088286,0.978358219,0.297277927
38,0.979861541,0.163425537,0.997526855,0.883404464,0.825083572,0.011084778,0.454814312,0.91622446,0.027852325,0.122011667,0.040641045,0.047486074,0.078123852,0.015544549,0.000981248,0.047103722,0.987837683,0.31156183
39,0.974225377,0.166039946,0.996019761,0.88776255,0.822065594,0.011569088,0.453216015,0.916246052,0.027480748,0.134050447,0.045521679,0.05004882,0.081778448,0.015000665,0.002018784,0.049435226,0.987041391,0.321582024
40,0.967411477,0.168400954,0.994045256,0.892074097,0.81845918,0.012840153,0.45118622,0.916264245,0.032721172,0.158563966,0.061144329,0.048779657,0.08348919,0.022410657,0.002516312,0.049600818,0.983662084,0.334257556
41,0.960768549,0.170994677,0.992775155,0.895354786,0.815218027,0.012400516,0.449038668,0.916278824,0.031528076,0.152086347,0.054073577,0.049489854,0.085056508,0.020637053,0.002321383,0.050454886,0.978237558,0.313329942
42,0.954996313,0.173944495,0.992259753,0.899462979,0.812581851,0.01157698,0.447423742,0.916291382,0.026215355,0.126568967,0.047626211,0.053345333,0.084235417,0.01310345,0.00174879,0.051592781,0.976644475,0.340480244
43,0.949320738,0.177372758,0.991838687,0.903301344,0.810507969,0.011913044,0.44619064,0.916301928,0.0250521,0.129871898,0.046284864,0.056647025,0.088511615,0.009020926,0.001483475,0.05443449,0.973284489,0.346992679
44,0.943945914,0.179855565,0.991413677,0.907668378,0.808605659,0.012548021,0.444935835,0.916309947,0.028335988,0.14273278,0.040861689,0.062091944,0.088140108,0.006423428,0.00131097,0.056337019,0.983311046,0.343771102
45,0.938798,0.182504642,0.991491579,0.911976234,0.807243581,0.012940857,0.44376109,0.916315118,0.038548805,0.144672707,0.043046121,0.065340676,0.087862877,0.003394124,0.001242852,0.057451332,0.972439079,0.36745905
46,0.933549864,0.185150903,0.991383436,0.914910185,0.806007939,0.012216947,0.442860328,0.916318482,0.029106297,0.133116598,0.04720058,0.062839797,0.088167219,0.004166779,0.000804021,0.056627631,0.977588773,0.368052571
47,0.927038106,0.18801052,0.990617234,0.917044003,0.804761011,0.012860241,0.44191694,0.916320146,0.024828138,0.142884714,0.061099839,0.063543459,0.092817242,0.009432888,0.00113629,0.058635263,0.975748551,0.375545354
48,0.919332713,0.190736157,0.988950392,0.919265395,0.803361221,0.014028695,0.440521796,0.916320341,0.029203662,0.160514513,0.07278111,0.068297255,0.09512041,0.01573767,0.001867545,0.061281624,0.979374182,0.384607237
49,0.912402581,0.193163408,0.987772,0.921593395,0.802027583,0.013867492,0.438923525,0.916319081,0.038414988,0.157395244,0.062492158,0.074163222,0.095188074,0.00916802,0.001665569,0.063506736,0.981526738,0.383664869
50,0.906797588,0.195439634,0.987671746,0.923161886,0.801500836,0.01288687,0.43764643,0.916315597,0.030256006,0.1467447,0.049824829,0.073889864,0.093241082,0.001480076,0.002015651,0.062674105,0.975006361,0.380026492
51,0.901200201,0.197856415,0.987576094,0.923791319,0.801304396,0.012980592,0.436774105,0.916309931,0.027448382,0.146128188,0.051396181,0.076223923,0.094526927,0.002044478,0.002047146,0.064031569,0.970862314,0.388126278
52,0.895146977,0.200075063,0.987553085,0.923837583,0.801312229,0.013585101,0.436438935,0.916303258,0.038063184,0.156790435,0.056329487,0.083093111,0.100153158,0.002232912,0.002460813,0.068717351,0.962502689,0.391569871
53,0.889506219,0.201997537,0.98742029,0.923252486,0.801447697,0.012998153,0.436360024,0.91629597,0.039172229,0.150752472,0.051022571,0.080155295,0.096302879,0.002374258,0.001249814,0.066171815,0.955414731,0.375089327
54,0.883608374,0.204222898,0.987197102,0.921885014,0.801758929,0.012144812,0.436321878,0.916289004,0.029726512,0.13578752,0.054270232,0.082415396,0.093503992,0.002175688,0.001752412,0.065969771,0.958157186,0.375321084
55,0.877346441,0.206524051,0.986972271,0.920471991,0.802232109,0.012437717,0.436690836,0.916283311,0.035815721,0.137741775,0.059542386,0.085594589,0.093444722,0.003520684,0.002033202,0.067139742,0.954436038,0.378001935
56,0.871750024,0.208563515,0.986841119,0.919405111,0.803195643,0.012203366,0.437621932,0.916278863,0.030860411,0.139556003,0.055028355,0.084925563,0.091970318,0.002834927,0.00159094,0.066335955,0.950794992,0.368480876
57,0.86693097,0.212674294,0.987226028,0.918100959,0.804789915,0.012474422,0.439280452,0.916275855,0.03177412,0.144725232,0.046333615,0.084726797,0.104847576,0.002177014,0.004079125,0.07109039,0.95131385,0.362286067
58,0.862713477,0.217632823,0.98799979,0.916888255,0.806436699,0.013261661,0.441803034,0.916274528,0.036360053,0.162467635,0.049598574,0.085357753,0.091875335,0.003110399,0.005780269,0.066462408,0.957873094,0.350384487
59,0.858739708,0.220664612,0.989148928,0.916585851,0.80788538,0.013186013,0.44499702,0.916275276,0.046611001,0.164084903,0.043365878,0.08337807,0.091239082,0.002358108,0.007726676,0.065481432,0.962854305,0.319706642
60,0.854764041,0.222638943,0.989812903,0.916782554,0.809263474,0.011989955,0.448342905,0.916278703,0.044052844,0.148121513,0.039219963,0.078331147,0.08372536,0.001932918,0.007231407,0.06077119,0.96399626,0.303640826
61,0.851836045,0.224149922,0.990527499,0.916405021,0.810712688,0.011082049,0.451630429,0.916284675,0.02806423,0.136381577,0.030746155,0.072223019,0.07619781,0.002597399,0.007452682,0.055657811,0.971070142,0.305225429
62,0.851287477,0.225410202,0.992737355,0.916478301,0.811979991,0.01283185,0.455671906,0.916292833,0.026595064,0.159989253,0.008918157,0.070705993,0.079503959,0.00937903,0.012067058,0.056328732,0.976256845,0.297284044
63,0.852075728,0.227715699,0.995866587,0.916619303,0.813216254,0.014506901,0.460963457,0.916302918,0.05563629,0.1868343,0.00989866,0.077390224,0.080923931,0.014472624,0.014161022,0.059367808,0.978744758,0.324607327
64,0.852137158,0.22764334,0.998096493,0.916629002,0.814453426,0.01256319,0.466369566,0.916314591,0.044760501,0.15996442,0.012390798,0.065187004,0.067791971,0.005438281,0.015848068,0.049867115,0.981010477,0.269674084
65,0.851604508,0.225900269,0.999309071,0.916891884,0.815757498,0.012207052,0.471231132,0.916328855,0.036656022,0.155256759,0.010066428,0.057688483,0.060200491,0.003654216,0.015776388,0.044208365,0.980778531,0.2816639
66,0.851908068,0.223029723,0.999113494,0.915764686,0.817022212,0.012168263,0.475908765,0.916344844,0.028247381,0.154909893,0.003598624,0.061284782,0.048441629,0.003535227,0.02008127,0.041147404,0.979819643,0.276205324
67,0.853530563,0.220260816,0.996544697,0.917126255,0.818595059,0.013180408,0.480805383,0.916361468,0.033640237,0.165089981,0.026463099,0.064760661,0.050433322,0.006546159,0.02411092,0.043197743,0.98111992,0.290143577
68,0.855737639,0.219544009,0.993992992,0.917948871,0.820294889,0.013699149,0.486268555,0.916379875,0.04774248,0.175042709,0.034377666,0.061995251,0.052263029,0.009917105,0.021178267,0.042846855,0.984347511,0.267088996
69,0.858448185,0.217023555,0.991743364,0.916801065,0.821376603,0.013131399,0.491907779,0.916400197,0.047164169,0.167567364,0.030674061,0.054079097,0.043217806,0.009668777,0.021747548,0.036486339,0.987173194,0.259912892
70,0.860540299,0.214183206,0.990710585,0.915330593,0.821965149,0.011968355,0.497145441,0.91642362,0.040223644,0.152812144,0.027872218,0.051300347,0.035683692,0.007899553,0.01976839,0.032619014,0.988694005,0.25314724
71,0.862320934,0.212882717,0.990043323,0.91652471,0.822470432,0.011710932,0.502034769,0.916450335,0.036705503,0.152577051,0.037033943,0.048749995,0.035902625,0.007961361,0.018208059,0.031744732,0.99120778,0.247921908
72,0.86488728,0.212081165,0.988592437,0.915806624,0.822886666,0.011687682,0.506884595,0.916479432,0.04419764,0.148548037,0.041194454,0.049152418,0.032754646,0.010905486,0.017347888,0.030715149,0.990792716,0.236733987
73,0.868306697,0.211503649,0.986518992,0.915206519,0.823205088,0.010735965,0.511557105,0.916510245,0.052935225,0.135000507,0.041956971,0.045497858,0.028453295,0.020510258,0.014370117,0.027731682,0.991851774,0.258981004
74,0.871571352,0.211086842,0.985001709,0.914788594,0.82340699,0.009035862,0.515598961,0.916542267,0.046814421,0.110124381,0.045802194,0.040548439,0.023909054,0.018323799,0.013873745,0.040548439,0.990023184,0.258304466
75,0.873539096,0.210650657,0.984558621,0.914806297,0.823172195,0.008383758,0.519082666,0.916576375,0.055600693,0.106832381,0.041130763,0.037985018,0.023273705,0.010564536,0.013755607,0.022972021,0.979916634,0.250109701
76,0.875190184,0.210072717,0.984815007,0.91441021,0.822600282,0.007274864,0.522182182,0.916612928,0.038386814,0.094408346,0.034392974,0.031009093,0.018819628,0.009072862,0.01275192,0.01868577,0.973285106,0.272071409
77,0.877983271,0.210593306,0.984016264,0.912317362,0.822490175,0.006615589,0.524752781,0.91664993,0.048171783,0.076352156,0.048822207,0.033430614,0.016348848,0.017179076,0.010449874,0.033430614,0.96883254,0.2986134
78,0.881328183,0.211332139,0.982047346,0.912828878,0.822876358,0.00612643,0.526826945,0.916686124,0.030252456,0.063017826,0.059222212,0.033620932,0.015244213,0.025788691,0.010004866,0.022278609,0.953990335,0.258338448
79,0.885689756,0.212993547,0.978964132,0.912051815,0.823836857,0.006752486,0.528645361,0.916720498,0.049188726,0.057718367,0.06429379,0.034400653,0.012392378,0.036639133,0.009166964,0.026639919,0.924553672,0.296595384
80,0.890845139,0.215167811,0.97551606,0.912398898,0.825325297,0.006599298,0.530079553,0.916752294,0.037298895,0.045795739,0.074478299,0.028835711,0.014807621,0.043935165,0.010433923,0.027289079,0.900361575,0.303370044
