Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity
1,0.22941856171264732,0.8687851760025346,0.0001644373730602783,0.14697318318787841,0.02616046417358589,0.0008286545443112466,0.7656412212923542,0.9999977513456721,0.03007495627590999,0.004833524856514221
2,0.22920359111298047,0.8686661163154122,0.00017713887597927325,0.14781958086090788,0.02606484094445619,0.0008286545443112466,0.7656412212923542,0.996475604688103,0.03007495627590999,0.004833524856514221
3,0.22886915477919906,0.8690537956409946,0.0,0.15004192707363978,0.02652655087766476,0.0,0.7660897537442182,0.9921335763660282,0.021406839605196116,0.0
4,0.22813597575331845,0.8692471090593884,0.0002288205022852266,0.15160743465281962,0.027260706675393917,0.007420024056437898,0.7667728216144254,0.9876161412697996,0.020439960851749445,0.00959693011791377
5,0.22752323947208472,0.8694775414556736,3.690817481497954e-06,0.15493376578270396,0.02732179176217803,0.009637885649616599,0.7675493769939533,0.9826960938900284,0.024688036733870156,0.012574356987716863
6,0.22644759865961603,0.869494527749333,0.0003836210236318615,0.1578992545842646,0.02790331415684999,0.019154856694910537,0.768537420553724,0.9774597039922535,0.027544466185281564,0.02430823026116802
7,0.22535128504232785,0.8695367894946855,0.0005849207544622578,0.16088564601273855,0.028612286280902666,0.01996853225129789,0.7699298036102709,0.9718423215263357,0.024875543577847152,0.02499656385660622
8,0.22395230126204183,0.8697353840145372,0.0007986878122058502,0.16432248069527533,0.029477472277811636,0.02431713681893749,0.7712581067731848,0.9660175669899264,0.07088539545929383,0.025958205485060684
9,0.22152215500972747,0.8699811046075633,0.0016677200602169331,0.17021502195224594,0.03154148389586332,0.043997759675639084,0.7730525179410003,0.959764875531758,0.0211557762822453,0.048142654238312786
10,0.21897673647555466,0.8702504087647741,0.0020673770494579313,0.17585850319129157,0.03350670525586332,0.04485863448856139,0.775008287214027,0.9531757151397261,0.020728842960807348,0.04625049072342151
11,0.2162402987045526,0.8705007298078922,0.002532918948829998,0.1817765122527511,0.03568684926281971,0.05042116521205409,0.7768393089852927,0.9461213929788037,0.06266183772389154,0.052488566080724455
12,0.2124314940700152,0.8710913070857919,0.0036609244052542155,0.1895036449299545,0.03935602257997067,0.06613814568805586,0.7794157474497909,0.9385927684390906,0.03425773954515765,0.06507327733028107
13,0.20718035826542283,0.8722633436842474,0.004904556809894237,0.19874129327805598,0.04571971635176157,0.07546416836809011,0.7822553360418698,0.9306930157013673,0.04383370203550521,0.06590253835872886
14,0.20066213339138947,0.8739428850548645,0.006802171527553067,0.20990917355629196,0.054677190575565485,0.08942408240188734,0.7853131768870494,0.9223120383576991,0.05301973300000409,0.06986828793717223
15,0.1918965353448113,0.8764750032227054,0.008455118136278581,0.2229578461724532,0.06832731063278343,0.10592757555075802,0.7885879486414756,0.9133719817421636,0.08035817244863742,0.07322480855199498
16,0.1809696633959774,0.8795653137909546,0.00976745574468391,0.2368250010849674,0.08647190418501702,0.1258851931486767,0.7910942068354077,0.9039672227381426,0.2167016354700495,0.07684592708325116
17,0.16765864669464722,0.8815809586039409,0.010997037588980652,0.24966044644033267,0.10808507350922615,0.16976441016778324,0.7935238175753418,0.8938873924274133,0.05276785130196271,0.12288471217574871
18,0.15549839122084919,0.8826755059775653,0.012318085526642184,0.26885667027877386,0.12847490852879925,0.17275300298035387,0.7967799956455165,0.882736615800605,0.10161546223507728,0.14675931310283144
19,0.1440695437596838,0.8819776687958679,0.011798311518814828,0.2872793779463644,0.1459795678780708,0.18952664381507067,0.7994966479220726,0.8703566006375077,0.13199597384757614,0.17976402653628434
20,0.13288498742450947,0.8794292606847889,0.011271242419331043,0.3063772818077304,0.16165000765418217,0.22181080263059483,0.8017904999774932,0.8563854367256888,0.0987461315825871,0.22717621145614947
21,0.12161130346175157,0.875785672978438,0.010616476125771317,0.3283928825535187,0.17655532190414402,0.24821649478271948,0.8046513220075069,0.8406897341987711,0.2212965046926748,0.25853423554409305
22,0.10998041455194871,0.8703465988760131,0.010374271955680995,0.3529441348026471,0.190457051066061,0.2949575596528675,0.80811631960545,0.8231140536258266,0.22774468707627252,0.30890413903603875
23,0.09765585026222176,0.8634999374832992,0.01036608597704623,0.3818363866564413,0.205198674391712,0.3437318073592576,0.812109618601502,0.803463256796532,0.40918541778966677,0.34920494004960756
24,0.08296127246769715,0.8543293364668946,0.008255503454532864,0.414551976758538,0.22568697427809303,0.4130147161812958,0.8140142769420614,0.7815906954870274,0.3292558343536449,0.4005811804234796
25,0.06665403208479286,0.8421228523624874,0.001989818974519788,0.44857041430757333,0.2532508492586553,0.4649445920333627,0.8100319775662105,0.7575277649229453,0.32622071723168883,0.4307422749198669
26,0.05003074346213093,0.825506689004006,0.012608555407824688,0.4800370489997256,0.28615173065730704,0.4974787872169569,0.795603306368364,0.73147852574166,0.5681610104080901,0.44291252812853676
27,0.03390844148825338,0.8024326038642046,0.9635518437669652,0.505538666236885,0.32356925891633764,0.5579356718530453,0.767900112184984,0.7038730787240838,0.5309231433773277,0.48879903643584754
28,0.01872541253455165,0.7724799610723695,0.9317851558814115,0.5255594302330093,0.369056712350479,0.6245624258260148,0.7283302185878703,0.6751289231625106,0.0639121837775206,0.5211692472201099
29,0.006600673539984267,0.738162040126992,0.8971063468228081,0.5443015463087596,0.422766193163832,0.6254044057717969,0.6824443492708896,0.6456215402182187,0.06984281391662239,0.48717676149523137
30,0.000816552665046224,0.6994724507178804,0.8598903832841408,0.567000076420327,0.4810939565915554,0.6250211352335805,0.6344856504357371,0.6157258419770012,0.025867956308880197,0.44754866704550605
31,0.005824763374213165,0.6570178435389759,0.8202367798862752,0.5916017331586363,0.536053253609354,0.6188753465520024,0.5853291280672086,0.585733027767779,0.031369388661957966,0.4145694579723595
32,0.022629632075943845,0.6101660227948803,0.7789986499996162,0.6204040063678179,0.5853204075348288,0.6201236271442715,0.5355255969498907,0.5557798937663052,0.0971414294036351,0.4052872029657967
33,0.04883207300573132,0.5600549729497554,0.7392289869370026,0.6534554742203657,0.6309581930857421,0.6096643695852776,0.4864005212920135,0.5258279103305976,0.14931796679997797,0.36605515220456575
34,0.08087016378808647,0.5101232832949232,0.7036011643428691,0.6900167016523464,0.6706571789967836,0.5792374188681482,0.4411671983477517,0.4958512295298749,0.06370021181518742,0.3144235797718184
35,0.12002030382017446,0.4605986595397349,0.6688542100666011,0.729702692242227,0.7041196864996921,0.5820527287481528,0.3990419952546999,0.46583933866882604,0.08684718054481672,0.2881763509285404
36,0.16497017426949512,0.41346879713610557,0.6352342736349069,0.7705910038010386,0.7323440773391736,0.5899644767993295,0.3587781271773003,0.435830989563899,0.37340510777827457,0.2930238006775807
37,0.22148753763635998,0.3641481565413984,0.5988310841042678,0.810895943136654,0.7607449669331913,0.6529687502722564,0.31929680355463014,0.4059159432766394,0.37602403566055465,0.36553513801690857
38,0.29366773844628885,0.30766333369728277,0.5591126750422104,0.8482208852409913,0.8011880100194473,0.7356967670816255,0.27856044902886945,0.37629157331835117,0.33653326069782497,0.47415798235196294
39,0.38165727249430376,0.24524748793327125,0.5182975688375372,0.875681844173149,0.8461852805473756,0.8122374020235096,0.2391195420491451,0.347272559186584,0.25472900769019446,0.6570766736821175
40,0.483390413898473,0.18062904882363373,0.47943766937558174,0.8874573559878346,0.896872703400111,0.8811773101742679,0.20402962525539958,0.3192161810786383,0.044117201613256676,0.8231589793460431
41,0.592031589206119,0.11843147574424769,0.4461220599356696,0.8885764120899381,0.95519634711787,0.9044757783909501,0.17461658971464972,0.2922840087503956,0.11443809591150647,0.864583419727169
42,0.6939947201563152,0.06716785373397213,0.42203072481360726,0.8893339344677402,0.999999974501384,0.8654753535427829,0.1523779263922172,0.26654234382116754,0.09406518167249771,0.8207071045138714
